TimeS,MagField,Throttle
2786.691994,578.1392565809729,72.5
2786.792354,574.8956427039607,73.6
2786.892012,571.8365150985026,74.7
2786.991978,570.9868649977861,75.8
2787.09224,579.0129532229828,76.1
2787.191998,573.0322853033675,75.5
2787.292187,563.3524651583589,74.3
2787.392037,588.1088334653714,76.1
2787.492011,567.1287331814533,77.10000000000001
2787.592019,568.6079492937115,77.8
2787.692221,583.5589087658589,77.4
2787.791945,579.4523276336026,74.5
2787.892183,568.9947275678396,72.2
2787.992192,570.6303532059962,71.7
2788.092235,578.0735247353921,74.1
2788.192191,579.0595824265409,75.6
2788.292096,568.8681745360694,75.9
2788.391903,562.1192044397701,74.5
2788.492344,579.0872127754161,73.3
2788.591863,573.6218266419087,73.5
2788.692183,576.6064515768098,74.8
2788.791899,582.8112902132216,75.5
2788.892064,574.5963800790952,77.10000000000001
2788.991971,578.4297710180554,76.5
2789.09204,580.7013001535299,76.1
2789.191786,580.5333754402067,79.10000000000001
2789.291797,573.5477312308018,83.0
2789.391795,574.8278003019688,83.7
2789.491729,577.5794317667484,82.1
2789.591986,574.9165156785809,81.2
2789.691732,566.6656862736617,79.10000000000001
2789.791979,577.9498248118084,78.2
2789.891763,573.6671508810663,77.8
2789.991879,580.9440592690487,77.3
2790.091682,582.7126221389065,77.60000000000001
2790.191935,572.1520776856447,77.60000000000001
2790.291688,563.7712301989168,77.8
2790.3919,567.5077091987386,78.10000000000001
2790.491655,594.3180966452225,77.4
2790.591829,575.7013114454404,77.3
2790.691687,585.5501686448396,74.0
2790.791859,584.1960287437771,74.9
2790.891632,554.6296061336791,74.5
2790.991853,569.7227395847914,76.5
2791.091858,578.2810735273981,80.10000000000001
2791.191869,576.4416709433834,73.0
2791.29181,579.0984372280761,66.9
2791.391826,578.3735816926634,65.2
2791.491838,591.956924108503,63.1
2791.592005,598.6401256180544,64.1
2791.691556,575.6891522340854,65.10000000000001
2791.792223,573.6349013091864,64.9
2791.891568,570.6023133496744,65.0
2791.991742,559.6802658661461,63.3
2792.091494,573.0244322888859,64.60000000000001
2792.191744,573.2268311933767,66.9
2792.291497,569.7982098953979,68.2
2792.392015,585.6457973895143,69.69999999999999
2792.491521,571.6240022952151,69.5
2792.591957,578.1513642637194,68.7
2792.691462,584.0085615810782,71.8
2792.791714,576.0807235101692,73.2
2792.891726,586.0836117824828,74.5
2792.991714,581.6846224544706,74.4
2793.091362,573.9076580774994,73.8
2793.191904,573.663664528267,79.2
2793.291387,563.1580595179297,78.4
2793.391593,569.814882220533,78.2
2793.491407,571.6834788587125,78.60000000000001
2793.591879,585.6457973895143,78.5
2793.691353,568.3959887261697,77.7
2793.791626,575.1947496283324,77.8
2793.891783,579.8698129752919,76.8
2793.991315,593.4012133455744,73.9
2794.091546,570.7573915421508,74.4
2794.191595,571.0437811586779,75.4
2794.291288,568.0510540435604,76.0
2794.391491,580.5592131729545,76.3
2794.491522,575.8220211141634,76.2
2794.59128,571.665986394153,76.0
2794.6915,572.2813993133099,76.2
2794.791383,565.1946567334126,76.2
2794.891431,576.2256502447631,76.0
2794.991258,566.347066735584,76.2
2795.091637,571.2530087448117,76.0
2795.191188,568.4206189082166,75.9
2795.291383,564.4776346322324,77.7
2795.391493,564.9398198038442,76.7
2795.491608,582.6465480889765,76.6
2795.591132,585.6756781700944,77.10000000000001
2795.691718,577.1317007408275,76.9
2795.791441,575.8793276373098,77.5
2795.8915,569.0957740134784,77.0
2795.991382,567.3570304490815,77.7
2796.091528,585.7823828009853,77.8
2796.191162,573.964284603145,77.9
2796.291595,572.2534403566308,77.5
2796.391122,565.089373462287,77.60000000000001
2796.491286,578.7546976051253,78.10000000000001
2796.591347,579.8241112613376,78.60000000000001
2796.691589,570.8992905933585,76.3
2796.791037,583.2529468421055,75.3
2796.891193,576.1041572493641,75.0
2796.991215,560.8422238027376,72.5
2797.091208,581.3449922378278,72.7
2797.191073,580.9449199364773,68.2
2797.291557,571.197864141665,66.2
2797.391326,570.6066946680525,66.2
2797.491241,584.6306526346357,66.8
2797.590966,574.3335267943183,67.80000000000001
2797.691009,560.9224545336012,69.6
2797.790973,576.4945793327115,75.8
2797.89091,572.554800870624,80.80000000000001
2797.990958,574.9478237196832,78.60000000000001
2798.090891,580.8941383763482,78.9
2798.191128,578.0103805296234,79.9
2798.291105,576.6688824620243,77.5
2798.391123,570.7021990495568,64.8
2798.491143,585.2144905929791,61.0
2798.591087,584.3577671255855,61.5
2798.690965,564.3075402650579,63.2
2798.791389,564.6104852019665,64.7
2798.890838,574.9069489926175,64.9
2798.99109,571.3046472767397,70.0
2799.091083,576.3280315931197,77.60000000000001
2799.191289,577.3265973433062,77.5
2799.290861,573.9564443405092,78.7
2799.391263,561.9937722074862,79.10000000000001
2799.490984,585.7388496591292,78.3
2799.591022,593.1787251747992,76.7
2799.691049,570.3867109251407,78.0
2799.79122,568.6862052133848,78.60000000000001
2799.890853,561.5282717726686,78.9
2799.990987,571.0499102530356,78.60000000000001
,,76.6
,,75.2
,,74.8
,,75.1
,,74.9
,,74.5
,,75.9
,,75.8
,,75.4
,,73.9
,,84.7
,,90.5
,,91.3
,,89.7
,,90.3
,,88.0
,,89.5
,,82.8
,,68.60000000000001
,,65.7
,,64.60000000000001
,,65.4
,,66.5
,,67.7
,,78.10000000000001
,,83.6
,,84.2
,,83.6
,,83.39999999999999
,,81.39999999999999
,,79.9
,,70.1
,,63.4
,,60.6
,,62.3
,,63.800000000000004
,,66.2
,,64.3
,,69.3
,,72.5
,,73.5
,,74.4
,,75.5
,,76.3
,,76.0
,,74.3
,,72.2
,,73.9
,,73.0
,,73.3
,,73.1
,,72.39999999999999
,,73.7
,,74.8
,,76.1
,,76.0
,,74.4
,,73.6
,,72.2
,,70.7
,,69.19999999999999
,,69.39999999999999
,,69.0
,,68.0
,,66.60000000000001
,,68.4
,,69.89999999999999
,,78.10000000000001
,,76.7
,,76.4
,,75.0
,,75.2
,,76.1
,,74.3
,,75.0
,,76.7
,,77.5
,,78.8
,,77.3
,,78.9
,,79.2
,,78.3
,,81.3
,,81.6
,,83.39999999999999
,,81.8
,,80.10000000000001
,,79.60000000000001
,,78.5
,,80.10000000000001
,,81.3
,,81.5
,,80.60000000000001
,,81.0
,,83.5
,,82.0
,,81.6
,,80.0
,,78.7
,,78.0
,,79.5
,,79.3
,,80.10000000000001
,,80.80000000000001
,,80.80000000000001
,,81.5
,,78.9
,,77.7
,,78.0
,,77.10000000000001
,,78.60000000000001
,,78.0
,,78.3
,,78.60000000000001
,,80.30000000000001
,,90.10000000000001
,,88.8
,,87.4
,,87.8
,,85.6
,,84.7
,,83.3
,,83.5
,,83.0
,,83.7
,,83.2
,,83.8
,,84.6
,,78.10000000000001
,,80.5
,,81.0
,,79.3
,,80.10000000000001
,,79.5
,,80.4
,,80.4
,,79.10000000000001
,,80.4
,,81.0
,,82.1
,,82.19999999999999
,,81.6
,,81.10000000000001
,,80.9
,,79.0
,,79.2
,,79.4
,,78.4
,,76.9
,,76.1
,,75.0
,,73.8
,,74.1
,,69.0
,,67.80000000000001
,,68.30000000000001
,,67.5
,,67.60000000000001
,,66.4
,,66.7
,,67.0
,,69.5
,,72.8
,,73.9
,,73.1
,,71.39999999999999
,,70.8
,,71.3
,,71.89999999999999
,,70.3
,,69.19999999999999
,,75.5
,,77.2
,,80.10000000000001
,,80.30000000000001
,,81.10000000000001
,,81.8
,,82.5
,,82.39999999999999
,,83.0
,,83.8
,,83.89999999999999
,,84.2
,,84.89999999999999
,,84.39999999999999
,,84.1
,,84.3
,,84.2
,,82.6
,,82.89999999999999
,,84.8
,,83.5
,,83.0
,,80.60000000000001
,,81.3
,,80.5
,,80.60000000000001
,,80.30000000000001
,,79.4
,,78.60000000000001
,,78.7
,,80.7
,,81.0
,,81.3
,,81.6
,,80.60000000000001
,,80.7
,,79.4
,,79.3
,,80.60000000000001
,,79.9
,,79.4
,,78.2
,,74.9
,,71.2
,,66.2
,,66.0
,,65.0
,,66.2
,,67.4
,,68.5
,,68.30000000000001
,,66.8
,,67.4
,,75.8
,,76.0
,,74.7
,,74.6
,,76.4
,,75.9
,,77.10000000000001
,,77.3
,,77.0
,,77.2
,,75.8
,,73.6
,,73.2
,,73.7
,,73.6
,,73.7
,,73.4
,,73.2
,,74.7
,,77.4
,,79.4
,,83.0
,,87.4
,,88.7
,,87.2
,,86.3
,,84.89999999999999
,,85.5
,,85.2
,,84.3
,,81.8
,,83.0
,,76.9
,,77.3
,,77.8
,,79.9
,,81.6
,,81.69999999999999
,,80.9
,,81.6
,,78.9
,,78.60000000000001
,,80.30000000000001
,,80.9
,,82.1
,,82.39999999999999
,,82.39999999999999
,,79.0
,,78.5
,,79.10000000000001
,,72.6
,,67.2
,,66.7
,,69.3
,,70.19999999999999
,,70.7
,,71.6
,,71.0
,,71.8
,,71.5
,,74.8
,,78.9
,,77.5
,,75.6
,,75.0
,,75.1
,,74.9
,,74.1
,,73.8
,,77.0
,,75.3
,,74.4
,,72.89999999999999
,,74.4
,,75.0
,,75.2
,,73.3
,,74.4
,,74.8
,,75.3
,,76.8
,,75.5
,,74.6
,,74.1
,,73.7
,,73.9
,,74.0
,,73.3
,,72.39999999999999
,,72.2
,,77.60000000000001
,,84.7
,,82.8
,,81.8
,,81.3
,,82.5
,,82.3
,,81.39999999999999
,,81.6
,,81.3
,,82.0
,,82.1
,,83.39999999999999
,,81.10000000000001
,,80.0
,,79.10000000000001
,,79.0
,,81.2
,,79.3
,,79.0
,,81.10000000000001
,,82.8
,,81.69999999999999
,,80.7
,,80.30000000000001
,,80.2
,,82.1
,,85.7
,,84.1
,,84.8
,,84.3
,,82.8
,,83.8
,,86.1
,,80.2
,,78.0
,,73.0
,,74.3
,,77.60000000000001
,,79.7
,,80.30000000000001
,,79.5
,,78.4
,,79.4
,,81.10000000000001
,,87.4
,,87.2
,,85.7
,,84.39999999999999
,,82.3
,,76.3
,,71.6
,,71.6
,,71.6
,,71.89999999999999
,,71.39999999999999
,,72.5
,,73.0
,,73.8
,,74.9
,,74.6
,,73.2
,,73.6
,,73.8
,,72.2
,,73.3
,,73.2
,,72.3
,,73.0
,,72.2
,,71.8
,,70.5
,,68.2
,,68.4
,,69.69999999999999
,,77.7
,,79.7
,,78.8
,,76.5
,,74.0
,,75.8
,,81.5
,,81.39999999999999
,,79.2
,,77.7
,,75.8
,,77.0
,,80.80000000000001
,,83.5
,,84.0
,,83.7
,,91.9
,,92.10000000000001
,,93.10000000000001
,,93.30000000000001
,,91.60000000000001
,,88.3
,,87.3
,,90.0
,,91.5
,,91.5
,,88.2
,,85.1
,,84.2
,,85.7
,,80.10000000000001
,,81.10000000000001
,,81.69999999999999
,,81.5
,,82.3
,,82.69999999999999
,,82.89999999999999
,,80.80000000000001
,,75.2
,,74.5
,,73.4
,,73.2
,,73.0
,,72.39999999999999
,,74.5
,,74.1
,,73.7
,,72.7
,,75.8
,,76.8
,,77.3
,,78.8
,,80.80000000000001
,,81.5
,,80.5
,,82.89999999999999
,,86.7
,,87.4
,,88.6
,,90.2
,,90.10000000000001
,,86.0
,,85.1
,,84.5
,,84.3
,,83.0
,,82.6
,,80.9
,,79.5
,,80.5
,,82.1
,,83.2
,,82.5
,,80.10000000000001
,,80.30000000000001
,,81.3
,,83.8
,,83.3
,,87.2
,,91.7
,,92.0
,,92.4
,,91.9
,,90.4
,,87.9
,,87.9
,,87.2
,,88.4
,,89.8
,,85.7
,,79.4
,,77.3
,,79.0
,,80.60000000000001
,,80.60000000000001
,,80.9
,,80.2
,,78.8
,,79.2
,,81.5
,,84.6
,,85.9
,,83.7
,,82.19999999999999
,,81.5
,,79.3
,,80.80000000000001
,,80.4
,,79.0
,,79.2
,,80.9
,,81.0
,,80.80000000000001
,,79.3
,,80.10000000000001
,,81.6
,,83.39999999999999
,,84.7
,,85.0
,,85.1
,,86.2
,,88.2
,,88.4
,,87.6
,,86.3
,,85.9
,,86.2
,,85.39999999999999
,,85.2
,,84.6
,,84.89999999999999
,,84.1
,,83.0
,,82.69999999999999
,,82.5
,,83.6
,,83.6
,,84.6
,,85.0
,,84.7
,,81.39999999999999
,,78.8
,,79.10000000000001
,,81.0
,,84.1
,,86.3
,,85.3
,,86.0
,,83.89999999999999
,,85.0
,,86.5
,,84.6
,,78.9
,,79.5
,,79.7
,,79.9
,,78.4
,,77.5
,,77.2
,,75.6
,,76.0
,,77.7
,,79.2
,,79.3
,,79.0
,,79.0
,,78.8
,,85.9
,,84.6
,,81.5
,,80.5
,,78.7
,,78.7
,,78.2
,,78.60000000000001
,,75.5
,,76.7
,,77.7
,,78.9
,,79.5
,,82.0
,,82.1
,,80.10000000000001
,,75.6
,,72.89999999999999
,,65.5
,,64.2
,,63.7
,,65.9
,,65.10000000000001
,,66.0
,,66.5
,,66.0
,,66.0
,,64.9
,,65.2
,,74.9
,,75.7
,,80.9
,,80.2
,,79.2
,,79.2
,,80.80000000000001
,,81.0
,,80.7
,,80.5
,,80.30000000000001
,,80.0
,,82.89999999999999
,,84.39999999999999
,,85.6
,,86.3
,,87.2
,,88.0
,,87.2
,,86.7
,,88.6
,,86.9
,,85.0
,,83.8
,,82.0
,,82.3
,,81.39999999999999
,,79.80000000000001
,,76.4
,,76.3
,,77.2
,,78.3
,,79.9
,,80.0
,,80.2
,,77.9
,,77.4
,,78.9
,,79.80000000000001
,,81.10000000000001
,,82.0
,,80.2
,,80.10000000000001
,,79.0
,,79.10000000000001
,,78.8
,,81.0
,,82.89999999999999
,,84.1
,,79.80000000000001
,,77.0
,,75.8
,,76.2
,,76.8
,,76.9
,,73.9
,,67.80000000000001
,,70.3
,,70.5
,,67.9
,,71.0
,,71.39999999999999
,,70.1
,,70.5
,,77.7
,,79.60000000000001
,,77.60000000000001
,,74.2
,,73.1
,,73.7
,,77.8
,,78.5
,,84.2
,,85.8
,,86.9
,,86.5
,,86.2
,,90.5
,,92.10000000000001
,,92.4
,,89.0
,,90.7
,,91.3
,,93.0
,,92.9
,,90.9
,,89.5
,,92.5
,,91.5
,,90.60000000000001
,,88.3
,,86.4
,,85.8
,,85.8
,,83.3
,,81.2
,,82.19999999999999
,,82.1
,,82.69999999999999
,,82.69999999999999
,,82.0
,,79.0
,,77.4
,,81.2
,,84.1
,,85.9
,,85.39999999999999
,,84.7
,,83.0
,,82.69999999999999
,,84.7
,,86.1
,,85.3
,,86.7
,,86.7
,,87.2
